Catégorie,Macro-catégorie,Sous-secteur,Secteur
GRL-15H (P),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-20H,COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-20H (P),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-30H (BASE),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-30H (MAJ),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-30H (P),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-45H (BASE),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-45H (MAJ),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-45H (P),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-45h (P),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-60H (BASE),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-60H (MAJ),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-60H (P),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-90H,COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-90H (P),COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
GRL-UEL 20H,COLL- GRL P,COLL ADULTES - GRL,PROGRAMMÉS
PART-FR GRL<20,PART-FR GRL,SUR MESURE - GRL,SUR MESURE
